example_id                                                                   | status | run_time        |
./spec/models/user_spec.rb[1:8]                                              | passed | 0.00427 seconds |
./spec/requests/accounts/show_spec.rb[1:1]                                   | passed | 0.09479 seconds |
./spec/requests/accounts/update_spec.rb[1:1]                                 | passed | 0.07922 seconds |
./spec/requests/api/favourites_spec.rb[1:1:1]                                | passed | 2.07 seconds    |
./spec/requests/api/favourites_spec.rb[1:2:1]                                | passed | 1.07 seconds    |
./spec/requests/api/user_by_email_spec.rb[1:1:1:1]                           | passed | 0.02441 seconds |
./spec/requests/api/user_by_email_spec.rb[1:1:2:1]                           | passed | 0.05026 seconds |
./spec/requests/home/index_spec.rb[1:1]                                      | passed | 0.07848 seconds |
./spec/requests/host/dashboard/index_spec.rb[1:1:1]                          | passed | 0.12075 seconds |
./spec/requests/host/dashboard/index_spec.rb[1:2:1]                          | passed | 0.03851 seconds |
./spec/requests/host/payments/index_spec.rb[1:1]                             | passed | 0.05235 seconds |
./spec/requests/host/properties/create_spec.rb[1:1:1]                        | passed | 1.12 seconds    |
./spec/requests/host/properties/create_spec.rb[1:2:1]                        | passed | 0.16556 seconds |
./spec/requests/host/properties/new_spec.rb[1:1:1]                           | passed | 0.06877 seconds |
./spec/requests/host/properties/new_spec.rb[1:2:1]                           | passed | 0.02511 seconds |
./spec/requests/hostify/update_spec.rb[1:1]                                  | passed | 0.05008 seconds |
./spec/requests/passwords/show_spec.rb[1:1]                                  | passed | 0.27988 seconds |
./spec/requests/passwords/update_spec.rb[1:1]                                | passed | 0.08803 seconds |
./spec/requests/payments/index_spec.rb[1:1]                                  | passed | 4.29 seconds    |
./spec/requests/profiles/show_spec.rb[1:1]                                   | passed | 0.10193 seconds |
./spec/requests/profiles/update_spec.rb[1:1]                                 | passed | 0.22672 seconds |
./spec/requests/properties/reservations/new_spec.rb[1:1]                     | passed | 1.15 seconds    |
./spec/requests/properties/search/index_spec.rb[1:1]                         | passed | 0.13717 seconds |
./spec/requests/properties/show_spec.rb[1:1]                                 | passed | 0.73216 seconds |
./spec/requests/reservation_payments/create_spec.rb[1:1]                     | passed | 0.7328 seconds  |
./spec/requests/reservation_payments/create_spec.rb[1:2]                     | passed | 5.85 seconds    |
